view_count,tag_count,video_id
33502455,1,LeYsRMZFUq0
33365363,1,DuQbOQwVaNE
33323801,42,bMDkGTme7aY
33305254,26,B6_iQvaIjXw
33291749,13,7khV7Rvlerg
33262071,26,adLGHcj_fmA
33199085,1,d9MyW72ELq0
33117248,1,WcwGleN38zE
33036170,1,QiqU0s7nbJA
33016615,22,TmKh7lAwnBI
33000246,58,--FmExEAsM8
32916212,1,cV2gBU6hKfY
32910350,26,sdycvSqMhPI
32822929,17,qvu4nPMyl3U
32772710,24,pvPsJFRGleA
32743032,2,RlOB3UALvrQ
32723063,1,qIsgdOVGA04
32714921,6,KIK3azN4w34
32699536,21,RsEZmictANA
32665074,1,PKtnafFtfEo
32649629,1,TJumjVX9uJU
32602094,10,N9lqbhVVTck
32558139,39,-2X-pL06628
32504376,1,C680oxL__ck
32430846,1,TQHEJj68Jew
32398023,1,DbICwMu4O8Y
32384432,8,8TsWkuWWXgc
32356112,18,V0wInr_xATk
32343417,26,orJSJGHjBLI
32307341,20,n36IqbvZ8ZA
32166528,1,9ix7TUGVYIo
32148252,48,pYRSY1Kv3YY
32091079,14,z2ZjutyxmjA
32077579,1,hxwpkM5w3Cc
32073161,26,LGkUW5cUPz8
31888423,31,qEVUtrk8_B4
31838350,1,E6E22XQPhhg
31816734,24,DriCCFRQlj8
31786800,1,MRvi_MKxolw
31626180,29,KilybZma5vY
31583221,13,Jm29kLeWqDA
31556897,12,GuTKZSQG_JM
31489721,4,ymaIzkXY8nQ
31475774,1,nM89Wl03Q4g
31475601,1,J8nWSJwnWvs
31358458,11,DPzKpJ7ksB0
31242126,38,ZJaKdBBzUYk
31200015,33,P3cffdsEXXw
31146664,15,ujf3iJoWgrM
31066907,1,NkE0AMGzpJY
31061855,40,mqqft2x_Aa4
31055670,21,saGYMhApaH8
31004573,34,ca48oMV59LU
30991742,29,JXgV1rXUoME
30976594,26,juQvizeZJFM
30954713,24,c8O01OhpdhU
30919606,1,3JEiig8KXvo
30868590,1,xsLJZyih3Ac
30858899,1,x-KbnJ9fvJc
30810881,12,FeiWFlrX4s4
30792974,1,NZlClr_ivb4
30767909,1,C5kIQ9zpjRI
30725226,9,FFpiZx1vQmk
30430077,1,dg2Ag3e8W-Q
30398625,1,qa3I51_gdg0
30179650,21,N0QqNGbpTK0
30174302,1,5Fg9oZk-5uA
30173157,32,rCiBgLOcuKU
30132701,21,QDYDRA5JPLE
30121659,38,aPd9exmH17o
30106753,29,iHCjPjVGqbM
30073222,1,65fN_OUawjk
30059975,53,K7LY9Ta0eiY
30033475,21,FrjCHMHK8Xc
29988122,24,eULmdt9zc30
29974086,21,jmwU1iAC-IE
29939866,1,urtFrxDUV6c
29857756,1,FbM1yi4mMMc
29823890,1,nYwGpw6KsSA
29776108,1,Cf2Bugb5dI8
29770769,1,cqGjhVJWtEg
29768357,21,moqX7VHq_7c
29730851,41,A_g3lMcWVy0
29710347,1,f0c7pSCoZqE
29671435,1,GUdnTGnm6Yk
29663773,20,LIIDh-qI9oI
29586833,24,91vECNhvmMY
29580488,27,n0j5NPptyM0
29561963,1,CLwXukmEaUw
29479954,4,WpuatuzSDK4
29349431,29,27h9SJcIdM0
29318211,15,DbXMjAYSa68
29282398,45,SszP3hlQ55Y
29204818,5,ZmDBbnmKpqQ
29046083,26,UTCC8k6KwnQ
29038515,1,LnlKwzc_TNA
28982410,27,Y1J9_9-vNcU
28903448,23,Mx_OexsUI2M
28762944,14,PJD7YnBZ5kw
28727667,6,cX9BHG1ZDzg
28620327,24,RJ0jdO5ZfU4
28542743,1,pN53t_F5ZiA
28486590,34,zJCdkOpU90g
28481162,1,Zv2L2XU0HAM
28389717,18,ayd3yWr4tqU
28365071,20,RNzQdcPWWX4
28306863,1,SPYX2y4NzTU
28294277,26,-Ca8V1-ihq0
28262908,61,yY13X0BKaUw
28254624,1,Dc2ZRmuH5OM
28207273,5,qWUsV2Ios8A
28160177,40,Gzs60iBgd3E
28143798,15,ME7qwm7oerQ
28086517,23,v7v1hIkYH24
27934528,18,ynB64HHx7UU
27897978,19,niG3YMU6jFk
27879329,1,Vsty728eSZw
27716808,1,UE5AHE2Ypr8
27620624,4,ZSsZ8WeAWRI
27595057,36,hXdKES_bF_g
27507160,1,sob6H8FB47s
27462261,39,r72GP1PIZa0
27462073,1,8FfjQBGb7QA
27399750,19,ux6zXguiqxM
27394012,62,sMG9t39BwUU
27256270,47,wTowEKjDGkU
27254797,1,mvQK78iCxWY
27232441,1,vJH28ICkCdU
27212105,11,Wq5S8Dt_HQE
27183750,1,VrKW58MS12g
27024302,23,mDYqT0_9VR4
26945980,19,9rhadTURsrw
26913924,1,fLmAn7pBe00
26813951,1,ktyJIj6i4Qw
26737640,1,XBpebUXp3Mw
26713629,1,qr4IIR5Zesc
26699067,35,CBV3C2ITDzk
26627593,30,-mQ8vp-LchA
26564860,4,MiCHMyou4pw
26520976,13,FL-brMxOebk
26474177,15,IkeZX2hnoOk
26444679,6,iLycuRm1V0Q
26357358,36,QcS9ZndErHc
26259306,2,x7Krla_UxRg
26236447,1,N89AuyCiu4M
26148583,29,lZH4QYXcMSI
26069653,25,-ezfi6FQ8Ds
25879197,24,qqOxkuO3ip0
25795642,20,BGNkkVrJZks
25764064,64,vaKVbKPQOqY
25756419,27,dmBRyBvAEy8
25752513,17,YhaG5GcCvA8
25736050,51,57n4dZAPxNY
25705151,1,cExLQ1o2pDw
25654458,34,6HsyjH6VmAI
25630909,16,ZDXEnr3Ww98
25591481,2,Rt_UqUm38BI
25545040,1,_EEo-iE5u_A
25516309,7,2XOFLRPnFC0
25498543,26,-FmWuCgJmxo
25437380,26,grG41kS4MUA
25435483,1,DtQycgMD4HQ
25405531,1,7uxu4Z2HAnA
25262800,34,RY2EujCP874
25157946,1,vp5sSqyZ5Go
25079483,7,rpPCjyVfQOo
25014989,25,ssq6X6alZ3w
24984659,42,g5idjxf4jHI
24967573,12,DQQRjFzB8gY
24952640,8,TCMnrssX1NE
24890364,1,9-VeMkXlBn0
24875325,27,7KWxQLHxEHU
24853084,3,uAPUkgeiFVY
24833247,1,SZQhgExjBvQ
24759426,16,vFWv44Z4Jhk
24682699,14,LXmKCUCQFvo
24578397,10,tQwVKr8rCYw
24524697,1,m4jai4yq1Gs
24434055,1,0FQWSNMGI2E
24377534,7,NvhiVkrypWI
24289381,46,cXCBiF67jLM
24287626,41,vloNXsJtCoM
24286581,19,AelCvAXnr0M
24277174,23,Ut1OzEVUiM4
24158601,1,JVCD9jJ9R_s
24062852,1,_ewmTADOpak
23997235,20,08MCd75frA8
23968869,16,7pynaH-PPCA
23943816,2,_Z3QKkl1WyM
23927273,39,qOt4NPfvLPQ
23903164,31,hgF1HI_kW6s
23901462,54,8WXiFzebIxs
23900486,25,_xJUCsyMQes
23890673,29,A-mO7rbYtgk
23847944,16,0KnYP3lOyRQ
23809149,15,kBUSELHHKNo
23700450,45,3VTkBuxU4yk
23686157,1,BgkZ36722ig
23672970,20,6t7vA3ebl8w
23600527,28,hr-325mclek
23579650,5,fn3KWM1kuAw
23569141,1,BYVZh5kqaFg
23510391,4,u18be_kRmC0
23407260,1,DLnVM22wZ44
23361322,39,NeUODC6F7zk
23329619,56,a6QT0acJFQE
23236127,8,h5WN3pkxPF0
23214358,36,5dD-Mkfuxlk
23212480,16,b7QlX3yR2xs
23187018,18,NM5wloPo6kI
23150651,1,5V2B28OqfqM
23082167,17,F_sOWEje2mE
23035962,22,GG7fLOmlhYg
23024674,1,RPkI7qrsEp0
23013144,28,jJdlgKzVsnI
22971586,19,p6OoY6xneI0
22949470,3,B-gHb2gPGIs
22921981,21,yz95mLpz5Bs
22905113,8,ZlNFpri-Y40
22845921,18,cQA7VKSvXFM
22818911,26,ySo1_loUkcQ
22761519,1,8M3WUaeIbOk
22733724,2,u3V5KDHRQvk
22669705,10,u8VIySyShA8
22659535,17,um3h13KJRxg
22657221,10,z0h3h1UVPSs
22633604,16,1Q0SVnv_jwk
22630086,17,CN4fffh7gmk
22579989,20,QSaW4KB5IQk
22542496,4,cii6ruuycQA
22538199,18,aqW4xXUgmno
22533744,35,s8hA0QRIwfo
22496422,15,5g2hT4GmAGU
22494799,1,s72dhTVYKtM
22488703,1,u34gHaRiBIU
22469406,16,DuDX6wNfjqc
22436267,4,1V_03efSkg0
22435385,1,ABTdTTnnEU8
22429394,1,P_6my53IlxY
22390004,37,4orZekvjmo8
22369840,7,z8Eu-HU0sWQ
22290981,21,O__Lo2FQJKo
22263961,22,HxllNfjYw2U
22235832,49,sQTGAggO0Gw
22185846,12,NQ-CD4Qwerc
22155821,20,a8ds6SnOGow
22068389,1,GLoeAJUcz38
22064044,1,3p7s7Rjh4fg
22062028,19,hS2x1zl4rn0
22045834,26,fFGS4zZWGoA
22038612,1,n9xhJrPXop4
21954683,43,Wsije1KetVw
21943527,1,x9NMPnI91Hg
21915511,22,cT7wOSOZVoc
21908818,33,0EVVKs6DQLo
21812400,39,me19SUmWu2s
21801233,17,w2IhccXakkE
21776199,33,yxW5yuzVi8w
21774664,1,gCKtqIeedW8
21751873,17,WWWDskI46Js
21736703,23,vb8wloc4Xpw
21680105,15,fmgHsn4IZi4
21673869,44,2sAzb3kraoQ
21668639,58,nAvjYapdSxk
21657804,20,0-q1KafFCLU
21605224,1,0LMDok40oQM
21567017,22,Qpf26PtBXgo
21563946,16,6nxrllqnP2Q
21510819,1,bNsjIYQB5gg
21483059,33,TYd_pT9hZrM
21463374,1,_uwNDiU04zE
21433205,42,z1gxHexN5DI
21415550,14,bBeZSuHI4Qc
21349971,1,AKJfakEsgy0
21280435,1,5owAA1ySI-E
21269380,26,CEw-7cMnBDY
21203991,22,hDkuUZ3F1GU
21185257,21,-nOdSj0u29U
21183645,20,DDY6KjQCMoQ
21169763,12,xQOO2xGQ1Pc
21120556,4,OXHCt8Ym9gw
21109926,36,-8VfKZCOo_I
21057410,1,vtRJZEHdu8M
21047826,1,SQ2iKUqiJiI
21037139,6,MqHm48qskRE
21003791,24,WcIcVapfqXw
20917288,2,gim2kprjL50
20868948,2,9SmQOZWNyWE
20764299,24,uKPUiVuunAg
20718538,33,zRXcOZFgMfY
20696557,4,Os_6c5j6YiQ
20637860,1,h4T_LlK1VE4
20637506,1,0-wPm99PF9U
20616905,1,gm0b_ijaYMQ
20612376,2,fEE4RO-_jug
20612139,1,TDiXxsQ0w2Q
20599722,30,65JrtwtTOdc
20584139,1,3IjCIRje-KI
20583383,1,xN8ENrfE-TY
20580696,12,_y8YWOIRmXU
20569711,6,vePc5V4h_kg
20495820,1,rxNq4SvqfRk
20492628,16,BInk1AoBHrY
20477438,15,PGJ43zaam_0
20453582,18,R9At2ICm4LQ
20444826,34,zwv5Xm93egM
20440297,2,Fc-fa6cAe2c
20392159,29,gU2HqP4NxUs
20347867,1,olXYZOsXw_o
20324587,25,lkL1HW2h2kQ
20197238,21,J5ee5OHIpIY
20148184,13,2f9TU-F214c
20115327,1,In8fuzj3gck
20100175,33,F40o4W3HwWg
20097632,1,jUsUzbmSLow
20072420,28,05HuTGeF5AA
20065607,9,LOJGVPh8-30
20046491,27,BC19kwABFwc
20037086,13,Db1Xdi6ELgU
20034573,42,lDV5cM9YE4g
20028119,28,G8GaQdW2wHc
19950757,2,x_me3xsvDgk
19927480,1,o2d3yVXp148
19920857,4,QmpTkkaKYSU
19918073,30,8FTOld6HP6k
19895965,29,XseIJg8Vyj0
19895080,1,a8Gx8wiNbs8
19870757,10,mPrN7yqr2DU
19866295,16,kIbjHtE4fd8
19865643,12,Cv0N8g68t2w
19816367,1,DTvS9lvRxZ8
19789832,46,2HcVZm_4qAI
19787871,35,Q_yuO8UNGmY
19749418,1,MBzi6hRrkww
19718614,1,Rsxao9ptdmI
19705025,25,dTOHwJih8PQ
19689920,7,9W7hNcytwVw
19688842,1,s1ax8Tx_Jz0
19678431,10,tFM1p4eA9AQ
19666039,1,NLOp_6uPccQ
19661974,35,X0tOpBuYasI
19659981,1,Un7choIyl_g
19620126,1,BHiWygziyso
19597574,13,VlFxGiRGO_8
19596022,32,FT3ODSg1GFE
19588141,20,5UdoUmvu_n8
19587572,59,2zXg8CbymYc
19584648,32,9vMLTcftlyI
19556882,10,RjrA-slMoZ4
19500945,1,9MWVHSR57xs
19497734,1,Vl3swga-Xrk
19449379,23,eqBrHvdGbOY
19448412,38,G1mPnQM5hQ0
19445230,60,-ToHbHcolfA
19436065,14,0zPdfB6coiA
19435036,16,2L6gsn7rGqI
19432987,2,u7JsKhI2An0
19422850,24,on2yz8SN3fg
19400506,13,0WVDKZJkGlY
19372630,27,CZJvBfoHDk0
19367509,5,7hhQpu93Cf0
19338261,58,XMs2CIiqRDI
19336260,1,iSvsf27wRns
19320035,1,RN1N3AE4SGM
19296421,6,58hoktsqk_Q
19274937,7,wL_NxuEG0m4
19202160,2,jjXZJZ4F8Ak
19156088,30,zuoSn3ObMz4
19150038,18,dClrKg0TxSc
19108085,10,Dgh2y5C_Xf0
19102181,36,iFPkd-7AcDM
19050027,49,yxfCbV21ck8
19019288,27,zkvIzKwzYNc
18980717,9,vX9msKu75qs
18976902,28,15_mIB2I02E
18947610,17,2fDzCWNS3ig
18933226,24,_NGQfFCFUn4
18888186,10,lNRB7OCo8Wo
18872820,6,LWeiydKl0mU
18868265,9,XVENjm3Bjk0
18849356,1,hkP4tVTdsz8
18824236,23,KX06ksuS6Xo
18773809,21,G2bx3FzgJ6o
18757856,1,fSfQF64SMD0
18748010,1,xgZLXyqbYOc
18741208,25,vM-Bja2Gy04
18728334,24,Q88P1gpOJxA
18711838,22,TYaDEE6KPZs
18681816,50,dFlDRhvM4L0
